dataset,instancia,n,M,archivo
dataset-4,DS-4-2000,2000,500,instancias/dataset-4/DS4-2000.txt
dataset-4,DS-4-0,0,0,instancias/dataset-4/DS4-0.txt
dataset-4,DS-4-0,0,0,instancias/dataset-4/DS4-0.txt
dataset-4,DS-4-0,0,0,instancias/dataset-4/DS4-0.txt
dataset-4,DS-4-0,0,0,instancias/dataset-4/DS4-0.txt
dataset-4,DS-4-0,0,0,instancias/dataset-4/DS4-0.txt
dataset-4,DS-4-0,0,0,instancias/dataset-4/DS4-0.txt
dataset-4,DS-4-0,0,0,instancias/dataset-4/DS4-0.txt
dataset-4,DS-4-0,0,0,instancias/dataset-4/DS4-0.txt
dataset-4,DS-4-0,0,0,instancias/dataset-4/DS4-0.txt
dataset-4,DS-4-0,0,0,instancias/dataset-4/DS4-0.txt
dataset-4,DS-4-0,0,0,instancias/dataset-4/DS4-0.txt
dataset-4,DS-4-0,0,0,instancias/dataset-4/DS4-0.txt
dataset-4,DS-4-0,0,0,instancias/dataset-4/DS4-0.txt
dataset-4,DS-4-0,0,0,instancias/dataset-4/DS4-0.txt
dataset-4,DS-4-0,0,0,instancias/dataset-4/DS4-0.txt
dataset-4,DS-4-0,0,0,instancias/dataset-4/DS4-0.txt
dataset-4,DS-4-0,0,0,instancias/dataset-4/DS4-0.txt
dataset-4,DS-4-0,0,0,instancias/dataset-4/DS4-0.txt
dataset-4,DS-4-0,0,0,instancias/dataset-4/DS4-0.txt
dataset-4,DS-4-0,0,0,instancias/dataset-4/DS4-0.txt
dataset-4,DS-4-0,0,0,instancias/dataset-4/DS4-0.txt
dataset-4,DS-4-0,0,0,instancias/dataset-4/DS4-0.txt
dataset-4,DS-4-0,0,0,instancias/dataset-4/DS4-0.txt
dataset-4,DS-4-0,0,0,instancias/dataset-4/DS4-0.txt
dataset-4,DS-4-0,0,0,instancias/dataset-4/DS4-0.txt
dataset-4,DS-4-0,0,0,instancias/dataset-4/DS4-0.txt
dataset-4,DS-4-0,0,0,instancias/dataset-4/DS4-0.txt
dataset-4,DS-4-0,0,0,instancias/dataset-4/DS4-0.txt
dataset-4,DS-4-0,0,0,instancias/dataset-4/DS4-0.txt
dataset-4,DS-4-0,0,0,instancias/dataset-4/DS4-0.txt
dataset-4,DS-4-0,0,0,instancias/dataset-4/DS4-0.txt
dataset-4,DS-4-0,0,0,instancias/dataset-4/DS4-0.txt
dataset-4,DS-4-0,0,0,instancias/dataset-4/DS4-0.txt
dataset-4,DS-4-0,0,0,instancias/dataset-4/DS4-0.txt
dataset-4,DS-4-0,0,0,instancias/dataset-4/DS4-0.txt
dataset-4,DS-4-0,0,0,instancias/dataset-4/DS4-0.txt
dataset-4,DS-4-0,0,0,instancias/dataset-4/DS4-0.txt
dataset-4,DS-4-0,0,0,instancias/dataset-4/DS4-0.txt
dataset-4,DS-4-0,0,0,instancias/dataset-4/DS4-0.txt
dataset-4,DS-4-0,0,0,instancias/dataset-4/DS4-0.txt
dataset-4,DS-4-0,0,0,instancias/dataset-4/DS4-0.txt
dataset-4,DS-4-0,0,0,instancias/dataset-4/DS4-0.txt
dataset-4,DS-4-0,0,0,instancias/dataset-4/DS4-0.txt
dataset-4,DS-4-0,0,0,instancias/dataset-4/DS4-0.txt
dataset-4,DS-4-0,0,0,instancias/dataset-4/DS4-0.txt
dataset-4,DS-4-0,0,0,instancias/dataset-4/DS4-0.txt
dataset-4,DS-4-0,0,0,instancias/dataset-4/DS4-0.txt
dataset-4,DS-4-0,0,0,instancias/dataset-4/DS4-0.txt
dataset-4,DS-4-0,0,0,instancias/dataset-4/DS4-0.txt
dataset-4,DS-4-0,0,0,instancias/dataset-4/DS4-0.txt
dataset-4,DS-4-0,0,0,instancias/dataset-4/DS4-0.txt
dataset-4,DS-4-0,0,0,instancias/dataset-4/DS4-0.txt
dataset-4,DS-4-0,0,0,instancias/dataset-4/DS4-0.txt
dataset-4,DS-4-0,0,0,instancias/dataset-4/DS4-0.txt
dataset-4,DS-4-0,0,0,instancias/dataset-4/DS4-0.txt
dataset-4,DS-4-0,0,0,instancias/dataset-4/DS4-0.txt
dataset-4,DS-4-0,0,0,instancias/dataset-4/DS4-0.txt
dataset-4,DS-4-0,0,0,instancias/dataset-4/DS4-0.txt
dataset-4,DS-4-0,0,0,instancias/dataset-4/DS4-0.txt
dataset-4,DS-4-0,0,0,instancias/dataset-4/DS4-0.txt
dataset-4,DS-4-0,0,0,instancias/dataset-4/DS4-0.txt
dataset-4,DS-4-0,0,0,instancias/dataset-4/DS4-0.txt
dataset-4,DS-4-0,0,0,instancias/dataset-4/DS4-0.txt
dataset-4,DS-4-0,0,0,instancias/dataset-4/DS4-0.txt
dataset-4,DS-4-0,0,0,instancias/dataset-4/DS4-0.txt
dataset-4,DS-4-0,0,0,instancias/dataset-4/DS4-0.txt
dataset-4,DS-4-0,0,0,instancias/dataset-4/DS4-0.txt
dataset-4,DS-4-0,0,0,instancias/dataset-4/DS4-0.txt
dataset-4,DS-4-0,0,0,instancias/dataset-4/DS4-0.txt
dataset-4,DS-4-0,0,0,instancias/dataset-4/DS4-0.txt
dataset-4,DS-4-0,0,0,instancias/dataset-4/DS4-0.txt
dataset-4,DS-4-0,0,0,instancias/dataset-4/DS4-0.txt
dataset-4,DS-4-0,0,0,instancias/dataset-4/DS4-0.txt
dataset-4,DS-4-0,0,0,instancias/dataset-4/DS4-0.txt
dataset-4,DS-4-0,0,0,instancias/dataset-4/DS4-0.txt
dataset-4,DS-4-0,0,0,instancias/dataset-4/DS4-0.txt
dataset-4,DS-4-0,0,0,instancias/dataset-4/DS4-0.txt
dataset-4,DS-4-0,0,0,instancias/dataset-4/DS4-0.txt
dataset-4,DS-4-0,0,0,instancias/dataset-4/DS4-0.txt
dataset-4,DS-4-0,0,0,instancias/dataset-4/DS4-0.txt
dataset-4,DS-4-0,0,0,instancias/dataset-4/DS4-0.txt
dataset-4,DS-4-0,0,0,instancias/dataset-4/DS4-0.txt
dataset-4,DS-4-0,0,0,instancias/dataset-4/DS4-0.txt
dataset-4,DS-4-0,0,0,instancias/dataset-4/DS4-0.txt
dataset-4,DS-4-0,0,0,instancias/dataset-4/DS4-0.txt
