dataset,n,M,metodo,tiempo
max-cant,0,1,FB,0.00125
max-cant,1,1,FB,0.002192
max-cant,2,3,FB,0.002217
max-cant,3,5,FB,0.003054
max-cant,4,7,FB,0.004396
max-cant,5,10,FB,0.006711
max-cant,6,14,FB,0.014052
max-cant,7,18,FB,0.026162
max-cant,8,22,FB,0.046883
max-cant,9,27,FB,0.069849
max-cant,10,33,FB,0.151564
max-cant,11,39,FB,0.320036
max-cant,12,45,FB,0.517818
max-cant,13,52,FB,1.16772
max-cant,14,60,FB,2.20719
max-cant,15,68,FB,4.05259
max-cant,16,76,FB,8.28645
max-cant,17,85,FB,16.1706
max-cant,18,95,FB,29.9821
max-cant,19,105,FB,59.5391
max-cant,20,115,FB,118.462
max-cant,21,126,FB,235.746
max-cant,22,138,FB,470.487
max-cant,23,150,FB,927.02
max-cant,24,162,FB,1892.67
max-cant,25,175,FB,3884.73
max-cant,26,189,FB,7592.16
max-cant,27,203,FB,15621.0
max-cant,28,217,FB,32828.4
max-cant,29,232,FB,62479.0
min-cant,0,0,FB,0.00139
min-cant,1,1,FB,0.002111
min-cant,2,1,FB,0.002984
min-cant,3,2,FB,0.003247
min-cant,4,2,FB,0.004699
min-cant,5,3,FB,0.005929
min-cant,6,3,FB,0.010231
min-cant,7,4,FB,0.01996
min-cant,8,4,FB,0.032611
min-cant,9,5,FB,0.062119
min-cant,10,5,FB,0.16106
min-cant,11,6,FB,0.260793
min-cant,12,6,FB,0.631351
min-cant,13,7,FB,0.999622
min-cant,14,7,FB,1.93421
min-cant,15,8,FB,4.43359
min-cant,16,8,FB,8.70961
min-cant,17,9,FB,15.7778
min-cant,18,9,FB,30.0757
min-cant,19,10,FB,56.1483
min-cant,20,10,FB,110.159
min-cant,21,11,FB,244.43
min-cant,22,11,FB,453.647
min-cant,23,12,FB,940.119
min-cant,24,12,FB,1877.98
min-cant,25,13,FB,3759.13
min-cant,26,13,FB,7545.86
min-cant,27,14,FB,14776.5
min-cant,28,14,FB,31241.3
min-cant,29,15,FB,73583.1
mejor-caso-bt,0,2,BT,0.001948
mejor-caso-bt,1,4,BT,0.001916
mejor-caso-bt,2,6,BT,0.002255
mejor-caso-bt,3,8,BT,0.002161
mejor-caso-bt,4,10,BT,0.001784
mejor-caso-bt,5,12,BT,0.002023
mejor-caso-bt,6,14,BT,0.002004
mejor-caso-bt,7,16,BT,0.001933
mejor-caso-bt,8,18,BT,0.001965
mejor-caso-bt,9,20,BT,0.002288
mejor-caso-bt,10,22,BT,0.00207
mejor-caso-bt,11,24,BT,0.001942
mejor-caso-bt,12,26,BT,0.002259
mejor-caso-bt,13,28,BT,0.00195
mejor-caso-bt,14,30,BT,0.002027
mejor-caso-bt,15,32,BT,0.002175
mejor-caso-bt,16,34,BT,0.002505
mejor-caso-bt,17,36,BT,0.002284
mejor-caso-bt,18,38,BT,0.002318
mejor-caso-bt,19,40,BT,0.00231
mejor-caso-bt,20,42,BT,0.002244
mejor-caso-bt,21,44,BT,0.002459
mejor-caso-bt,22,46,BT,0.002504
mejor-caso-bt,23,48,BT,0.002717
mejor-caso-bt,24,50,BT,0.002863
mejor-caso-bt,25,52,BT,0.002452
mejor-caso-bt,26,54,BT,0.002711
mejor-caso-bt,27,56,BT,0.00249
mejor-caso-bt,28,58,BT,0.002538
mejor-caso-bt,29,60,BT,0.002706
mejor-caso-bt,30,62,BT,0.002667
mejor-caso-bt,31,64,BT,0.002861
mejor-caso-bt,32,66,BT,0.002785
